cal_number,name,webpage
1,Geometry Seminar,                   http://pi.math.virginia.edu/geometry/
2,Undergraduate Math Club,            http://pi.math.virginia.edu/mathclub/
3,Harmonic Analysis and PDEs Seminar, http://pi.math.virginia.edu/diffeq/
4,Mathematical Physics Seminar,       http://pi.math.virginia.edu/mathphys/
5,Algebra Seminar,                    http://pi.math.virginia.edu/algebra/
6,Colloquium,													http://pi.math.virginia.edu/colloq/
7,Probability Seminar,                http://faculty.virginia.edu/Probability/
8,Topology Seminar,                   http://pi.math.virginia.edu/topology/
